0.904502,0.326833,1.024741,0.965123
0.806007,0.212568,0.635682,0.898777
0.937408,0.882611,0.572444,0.876219
1.093074,0.983460,0.883039,0.778101
0.967936,0.671388,0.805567,0.958167
0.949551,0.380020,0.705696,0.753044
0.850759,0.804400,1.144809,0.986431
0.865664,1.048568,1.193802,1.302489
0.665094,0.700688,0.871829,0.543345
1.349225,1.035488,1.354303,1.253008
0.705742,0.988096,0.510755,1.248397
0.851809,1.113024,0.833988,0.856666
0.854930,0.998455,0.693319,0.271809
1.057610,0.753515,0.230619,0.608233
0.883157,1.201520,0.817478,1.231381
1.195223,0.818122,0.808835,0.838499
0.788415,0.835077,1.280253,0.526427
1.031159,0.580921,1.062906,0.722230
0.638097,0.548756,0.426103,0.985545
1.111601,0.392239,1.192136,0.799929
0.567193,0.189776,1.099315,0.661326
0.688329,0.669052,0.764118,0.479441
0.753986,0.036157,0.522267,0.472685
0.529996,0.115876,0.145241,0.156350
0.383700,0.604958,0.297230,0.893505
0.400517,0.226203,0.740766,0.317445
0.124764,0.153882,0.681118,0.480890
0.260980,0.473541,0.749358,0.742780
0.098930,0.067933,-0.240363,0.205785
0.558133,0.812233,-0.220116,-0.013717
-0.351496,0.431737,-0.195461,-0.116608
-0.532694,-0.164982,-0.786427,-0.263154
-0.568652,0.564112,-0.428296,-0.796356
-0.083785,0.302585,-0.611328,-0.469739
-0.751561,0.379167,-0.699295,-0.913196
-0.419557,0.619214,-1.166391,-0.331676
-0.396295,0.737629,-0.521540,-0.815005
-1.036063,0.985570,-0.987874,-0.767716
-0.843848,0.638413,-1.207116,-0.771154
-0.628822,0.378428,-1.714929,-0.930922
-0.998085,0.743016,-0.833768,-0.649506
-0.956978,0.705884,-0.288923,-0.963070
-1.080150,1.281277,-0.363591,-0.600580
-1.200823,0.898580,-1.043274,-1.309939
-1.128119,0.917416,-1.087930,-0.869353
-1.235637,1.034102,-0.752137,-0.311090
-0.992902,0.724598,-1.212817,-1.213400
-1.115428,0.804949,-0.769155,-1.063016
-0.931865,1.229948,-0.647413,-0.723065
-1.305751,0.807757,-0.564135,-0.878340
-0.893826,0.708673,-0.888388,-0.753152
-0.796518,0.926068,-0.922504,-0.714646
-1.340391,0.932379,-1.105242,-0.651431
-0.789763,0.858312,-1.027646,-0.446671
-0.678945,1.030606,-0.895290,-0.704401
-1.119925,0.589372,-0.679877,-0.862464
-0.518545,0.127853,-0.496532,-0.568835
-0.687131,0.688078,-0.947527,-0.136608
-0.801207,0.315813,-0.169778,-0.657375
-0.231458,0.006895,-0.299881,-0.510902
-0.444697,0.449367,-0.536307,-0.197773
-0.368816,0.222756,-0.599090,-0.411041
-0.273223,0.092521,-1.099365,-1.023894
-0.492916,0.428823,-0.038778,-0.049765
-0.057673,0.144237,0.129636,-0.252016
-0.094711,0.400368,0.102536,0.159774
-0.009896,0.239364,0.032446,0.111943
0.107097,0.346475,0.438766,0.341135
