15.6,22.3,18.9,25.1,19.7,21.4
18.2,25.7,21.4,28.6,22.8,24.5
21.4,29.1,24.2,32.3,25.9,27.6
24.8,32.5,27.1,35.9,29.2,30.8
28.1,35.9,30.4,39.2,32.5,34.1
31.5,39.2,33.7,42.8,35.9,37.4
34.9,42.6,37.1,46.1,39.2,40.7
38.2,46.0,40.4,49.7,42.6,44.0
41.6,49.3,43.8,53.0,45.9,47.3
44.9,52.7,47.1,56.6,49.3,50.6
48.3,56.0,50.5,59.9,52.6,53.9
51.6,59.4,53.8,63.5,56.0,57.2
55.0,62.7,57.2,66.8,59.3,60.5
58.3,66.1,60.5,70.4,62.7,63.8
61.7,69.4,63.9,73.7,66.0,67.1
65.0,72.8,67.2,77.3,69.4,70.4
68.4,76.1,70.6,80.6,72.7,73.7
71.7,79.5,73.9,84.2,76.1,77.0
75.1,82.8,77.3,87.5,79.4,80.3
78.4,86.2,80.6,90.8,82.8,83.6
